"","X..","X.DateOccur.","X.Count.","X.Crime.","X.District.","X.Neighborhood.","X.XCoord.","X.YCoord."
"18430","""18430""","""05/12/2015 21:00""",1,71030,1,1,892118.2,995401.1
"18431","""18431""","""05/12/2015 21:00""",1,64701,2,82,885549.9,1022913
"18432","""18432""","""05/12/2015 21:15""",1,266999,4,37,896006.2,1018139
"18433","""18433""","""05/12/2015 21:29""",1,229999,4,36,904537.6,1018285
"18434","""18434""","""05/12/2015 21:50""",1,91113,4,35,908331.6,1017004
"18435","""18435""","""05/12/2015 21:50""",1,91113,4,35,908331.6,1017004
"18436","""18436""","""05/12/2015 22:00""",1,71013,6,72,890850.8,1040798
"18437","""18437""","""05/12/2015 22:00""",1,265321,6,74,897516.3,1050212
"18438","""18438""","""05/12/2015 22:00""",1,31111,3,24,898440.6,1011415
"18439","""18439""","""05/12/2015 22:00""",1,51322,5,38,893035.1,1023487
"18440","""18440""","""05/12/2015 22:05""",1,265321,4,36,900777.1,1017276
"18441","""18441""","""05/12/2015 22:18""",1,130000,1,16,893258.4,1001426
"18442","""18442""","""05/12/2015 22:40""",1,31111,4,36,906357.4,1018441
"18443","""18443""","""05/12/2015 22:45""",1,82000,1,2,887175.4,986032.3
"18444","""18444""","""05/12/2015 23:00""",1,71013,2,27,892034.8,1010384
"18445","""18445""","""05/12/2015 23:09""",1,229999,4,35,908422.1,1017299
"18446","""18446""","""05/12/2015 23:15""",1,31111,4,35,908017,1017620
"18447","""18447""","""05/12/2015 23:20""",1,44013,6,74,898179,1046847
"18448","""18448""","""05/12/2015 23:24""",1,265321,1,17,895278.6,997401.4
"18449","""18449""","""05/12/2015 23:29""",1,10000,5,50,884936.3,1036904
"18450","""18450""","""05/12/2015 23:32""",1,91303,6,73,890632.6,1048458
"18451","""18451""","""05/13/2015 00:00""",1,115400,0,0,0,0
"18452","""18452""","""05/13/2015 00:00""",1,115400,0,0,0,0
"18453","""18453""","""05/13/2015 00:00""",1,115400,0,0,0,0
"18454","""18454""","""05/13/2015 00:00""",1,115400,0,0,0,0
"18455","""18455""","""05/13/2015 00:01""",1,67601,3,24,897989.9,1009642
"18456","""18456""","""05/13/2015 00:01""",1,64701,4,35,910439.8,1019433
"18457","""18457""","""05/13/2015 00:30""",1,71030,1,2,887931.5,989639.3
"18458","""18458""","""05/13/2015 00:40""",1,103000,5,48,877678,1028783
"18459","""18459""","""05/13/2015 00:45""",1,250000,4,37,895783.1,1019328
"18460","""18460""","""05/13/2015 02:00""",1,263299,6,74,897429,1050538
"18461","""18461""","""05/13/2015 02:26""",1,142320,5,55,890050.1,1031183
"18462","""18462""","""05/13/2015 03:00""",1,65601,6,73,893582.6,1051336
"18463","""18463""","""05/13/2015 03:25""",1,265321,4,35,909667.4,1014494
"18464","""18464""","""05/13/2015 06:00""",1,65701,4,35,908649,1017426
"18465","""18465""","""05/13/2015 07:00""",1,69702,5,56,892651.3,1031590
"18466","""18466""","""05/13/2015 07:00""",1,51322,3,25,895065.9,1009110
"18467","""18467""","""05/13/2015 07:10""",1,182400,4,77,897508.7,1022846
"18468","""18468""","""05/13/2015 07:10""",1,31421,2,15,890332.9,1008207
"18469","""18469""","""05/13/2015 07:23""",1,264100,3,16,895431.3,1000902
"18470","""18470""","""05/13/2015 07:30""",1,51112,1,6,883335.3,998673.4
"18471","""18471""","""05/13/2015 08:00""",1,51312,3,24,898394.1,1011260
"18472","""18472""","""05/13/2015 08:00""",1,51112,6,74,894799.8,1048479
"18473","""18473""","""05/13/2015 08:00""",1,67601,6,74,897728.8,1053297
"18474","""18474""","""05/13/2015 08:00""",1,69702,5,52,887837.7,1033338
"18475","""18475""","""05/13/2015 08:00""",1,69602,3,18,898737.3,1002540
"18476","""18476""","""05/13/2015 08:10""",1,182400,4,59,899825.3,1024601
"18477","""18477""","""05/13/2015 08:30""",1,69602,2,14,884904.6,1004628
"18478","""18478""","""05/13/2015 08:30""",1,182130,5,78,885872.7,1031319
"18479","""18479""","""05/13/2015 08:38""",1,182400,4,59,899825.3,1024601
"18480","""18480""","""05/13/2015 08:51""",1,51111,6,70,884961.5,1039957
"18481","""18481""","""05/13/2015 09:17""",1,115400,1,6,879180.6,998005
"18482","""18482""","""05/13/2015 09:35""",1,51112,2,14,881368.1,1006028
"18483","""18483""","""05/13/2015 09:44""",1,229999,4,35,907173.4,1019045
"18484","""18484""","""05/13/2015 09:55""",1,64601,2,43,878450.1,1015037
"18485","""18485""","""05/13/2015 10:00""",1,69702,6,72,892703.1,1041921
