"","Precinct","Whitepop","Blackpop","Nativepop","Asianpop","Nativepacpop","Otherpop","Mixedpop","Totalpop","Malepop","Femalepop","Male1524","Male65Plus","Unplyrate","HisUnplyrate","WUnplyrate","HisWUnplyrate","HisBUnplyrate","HisAUnplyrate","BlwHSchlUnplyrate","AbBchlrUnplyrate","PvtyUnplyrate","X","Population","White","Asian","Black","Hispanic","Mixed","NatvieOther","HisWhite","HisAsian","HisBlack","HisMixed","HisNatvieOther"
"63",105,36809,100772,914,28666,156,9801,7312,184430,85618,98815,12851,10468,16882,16701,13082,13003,15469,13084,20553,10464,51862,63,188582,24611,27688,104029,22337,5688,4229,9061,193,3889,1929,7265
"64",106,42160,18654,1461,20467,155,18184,10352,111439,53799,57640,8025,5771,12372,11262,10107,10699,12312,8764,13754,7288,34526,64,122441,31739,22203,20990,28309,9234,9966,12155,253,1611,2234,12056
"65",107,63465,19926,688,46597,128,10931,6640,148379,71053,77328,11270,8342,15528,15114,13762,14060,21076,13342,16514,12277,35620,65,151107,52871,47039,19107,25621,4561,1908,12581,287,1612,2150,8991
"66",108,51883,3085,958,41903,58,17986,5637,121509,61583,59927,7564,5295,8392,7621,9958,8183,12904,7319,9437,6743,27824,66,113200,32470,36239,2132,39207,2370,782,17720,214,805,2979,17489
"67",109,98301,7138,580,125008,107,15904,7150,254192,121207,132982,15053,17293,22141,21011,27696,24869,25757,21175,19496,16255,53820,67,247354,73668,122012,5512,41164,4054,944,21568,484,1084,2843,15185
"68",110,53749,11982,1747,53825,82,44087,9047,174525,89365,85161,13683,6801,11331,10444,12537,9560,15765,12334,9530,9734,26005,68,172634,12352,57253,9091,90314,2534,1090,38583,387,2336,6312,42696
"69",111,59216,2535,93,42759,18,3240,2302,110164,52480,57683,6290,7796,8136,4978,8523,7825,8826,8281,7517,6719,29411,69,116431,54690,45763,2400,11676,1558,344,7225,158,233,855,3205
"70",112,72770,3341,221,28077,47,4498,3521,112480,52283,60193,5042,8036,8120,6760,8013,7693,12476,6911,10634,5900,36857,70,112277,62092,29218,2797,15146,2394,630,9469,156,450,1125,3946
"71",113,4343,118751,883,3975,80,6682,5022,139737,62572,77168,10549,6274,18469,22516,18181,20538,18869,6767,21747,10532,58163,71,120132,1057,2577,101721,9783,2978,2016,1979,38,3232,920,3614
"72",114,114536,23874,1174,28553,170,23661,7509,199477,101998,97477,15079,8920,19462,20279,20496,18171,25599,19494,24609,12535,55881,72,202766,91531,28947,21019,54441,4150,2678,25189,394,2514,3500,22844
"73",115,67475,13290,1872,27018,77,51044,9379,170159,87748,82411,13462,6955,14714,13776,10826,12371,21143,18077,13483,13432,42102,73,171576,20334,26996,10683,110108,2209,1246,45808,254,3017,7291,53738
"74",120,92690,43260,1139,14163,112,20114,7154,178633,86798,91833,13637,7769,15618,14659,16368,14090,17710,12816,21392,8407,50992,74,175876,69615,13111,38630,50069,3464,987,21279,277,4593,3620,20300
"75",122,158540,5198,434,16426,68,6454,3709,190829,91595,99233,12627,11755,14292,16333,14269,14778,7165,11232,12400,7252,58200,75,194822,147259,17065,4467,23000,2371,660,14260,160,768,1425,6387
"76",123,90445,1402,122,4576,33,1439,1252,99268,48895,50374,6701,5112,6338,5802,6341,6320,1516,4230,13292,3607,27635,76,98032,83295,4521,1216,7982,805,213,5969,30,183,433,1367
