"","DBN","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"930","31R032",470,163,679,675,15,4,66,21,336,120,53,18,389,138,82.8,84.7,0,0
"931","31R034",1131,NA,667,NA,26,NA,333,NA,638,NA,134,NA,772,NA,68.3,NA,0,NA
"932","31R035",173,55,691,688,0,0,12,7,133,34,28,14,161,48,93.1,87.3,0,0
"933","31R036",468,144,678,677,22,4,67,24,313,81,66,35,379,116,81,80.6,0,0
"934","31R038",179,61,660,664,12,0,47,15,115,42,5,4,120,46,67,75.4,0,0
"935","31R039",198,64,673,669,4,1,39,15,139,42,16,6,155,48,78.3,75,0,0
"936","31R041",288,106,670,672,9,1,67,19,182,69,30,17,212,86,73.6,81.1,0,0
"937","31R042",448,178,676,669,19,5,86,42,281,106,62,25,343,131,76.6,73.6,0,0
"938","31R044",361,120,638,630,79,28,139,51,140,39,3,2,143,41,39.6,34.2,0,0
"939","31R045",444,136,666,662,17,4,126,46,265,68,36,18,301,86,67.8,63.2,0,0
"940","31R046",156,52,662,662,6,0,49,18,92,28,9,6,101,34,64.7,65.4,0,0
"941","31R048",146,63,685,678,1,0,19,8,98,40,28,15,126,55,86.3,87.3,0,0
"942","31R049",1034,NA,634,NA,174,NA,500,NA,324,NA,36,NA,360,NA,34.8,NA,0,NA
"943","31R050",317,128,660,661,46,12,62,27,179,75,30,14,209,89,65.9,69.5,0,0
